erlösende wort nicht: 2
erregen unsere teilnahme: 2
es aushalten werde: 2
es doch besser: 2
es fehlt mir: 2
es fällt mir: 2
es für möglich: 2
es in der: 2
es ist alles: 2
es ist also: 2
es ist auch: 2
es ist für: 2
es ist ganz: 2
es ist immer: 2
es ist möglich: 2
es ist nicht: 2
es ist schlecht: 2
es ist viel: 2
es ist von: 2
es kommt darauf: 2
es mir eine: 2
es möglich das: 2
es nicht besser: 2
es schwer zu: 2
es sei ein: 2
es so etwas: 2
es süß du: 2
es vielleicht gut: 2
es war nicht: 2
es war nie: 2
es wieder gehen: 2
es wird aber: 2
es wird jetzt: 2
es wohl auch: 2
etwas gearbeitet aber: 2
etwas gearbeitet brief: 2
ewigkeit amen ich: 2
fahrt nach krakau: 2
falscher alarm ich: 2
francis gehört bin: 2
früh nach sandomierz: 2
fuhren wir nach: 2
furcht vor dem: 2
fühle daß ich: 2
fühle mich müde: 2
fühle mich schlecht: 2
fühle mich so: 2
fühle mich wie: 2
für einen augenblick: 2
für mich ist: 2
ganz im unklaren: 2
ganz in der: 2
ganz klein wenig: 2
ganz leicht zu: 2
ganzen tag gearbeitet: 2
ganzen tag in: 2
ganzen tag kanzelei: 2
gar nicht richtig: 2
gearb es ist: 2
gearbeitet aber nicht: 2
gearbeitet der geist: 2
gearbeitet ein wenig: 2
gearbeitet es wird: 2
gearbeitet heute nacht: 2
gearbeitet viel gedacht: 2
gearbeitet war den: 2
gearbeitet werde ich: 2
gefühl daß ich: 2
gegeben ist aber: 2
gegen abend wieder: 2
geist beschütze mich: 2
geist mich nicht: 2
geist mir kraft: 2
geist sei mit: 2
gemeinheit meiner umgebung: 2
gerecht zu sein: 2
geschieht werde ich: 2
geschlafen fühle mich: 2
geschützdonner von den: 2
gespräch unseres kommandanten: 2
gestern sehr viel: 2
glaube er hat: 2
glauben an die: 2
gott gebe mir: 2
gott laß mich: 2
gott mir helfen: 2
gott sei gelobt: 2
gott stehe mir: 2
gott wird helfen: 2
grund habe ich: 2
guter einwand hilft: 2
gürth über meine: 2
h daß ich: 2
habe das gefühl: 2
habe ich denn: 2
habe ich es: 2
habe ich nicht: 2
hast du nicht: 2
heißt daß wir: 2
helfe mir ich: 2
heute eine karte: 2
heute erhielt ich: 2
heute in den: 2
heute mit gürth: 2
heute nacht habe: 2
heute nacht onaniert: 2
hier bin ich: 2
hier gerecht zu: 2
hängt mit dem: 2
höre soeben daß: 2
ich arbeite arbeite: 2
ich auch in: 2
ich auf dem: 2
ich auf der: 2
ich bei der: 2
ich bemühe mich: 2
ich bilde mir: 2
ich bin auch: 2
ich bin auf: 2
ich bin außerordentlich: 2
ich bin eine: 2
ich bin innerlich: 2
ich bin ja: 2
ich bin oft: 2
ich bin so: 2
ich bin wie: 2
ich denke daß: 2
ich denn dazu: 2
ich eine gewisse: 2
ich eine karte: 2
ich es aushalten: 2
ich es noch: 2
ich fühle auch: 2
ich fühle daß: 2
ich fühle ich: 2
ich fühle immer: 2
ich glaube das: 2
ich glaube die: 2
ich glaube er: 2
ich glaube es: 2
ich habe das: 2
ich habe furcht: 2
